namespace,phase,unix_ts
gsm-1,t0,1781502819.090759740
gsm-1,t_apply,1781502819.815681392
gsm-1,t_ready,1781502857.410215073
gsm-1,t_attached,1781502857.711075259
gsm-1,t_test0,1781502857.712857462
gsm-1,t_testN,1781503756.116001696
gsm-1,t_teardown,1781503810.077490530
gsm-2,t0,1781502819.092758375
gsm-2,t_apply,1781502819.927937568
gsm-2,t_ready,1781502857.412235757
gsm-2,t_attached,1781502857.709358125
gsm-2,t_test0,1781502857.711092470
gsm-2,t_testN,1781503594.196102858
gsm-2,t_teardown,1781503647.376229699
